site,date,IGBP,year,year2,ydn,lat,dn,Rs,TA,TS,SWC,VPD,Prcp,GPP_NT,GPP_DT,GPP,Tscalar,GPP_t1,GPP_t2,GPP_t3,group,t,EVI,EVI2,NDVI,LSWI,LSWI_max,Wscalar,w,QC_flag,EVI.AG,EVI.Beck,EVI.Elmore,EVI.Zhang,EVI.whit,GPP_sim,GPP_vpm,LC,APAR,epsilon_eco,epsilon_chl
AT-Neu,2002-01-17,GRA,2002,2002,95,47.11667,3,43.1145,-2.463375,-1.24225,,1.073125,0.0375,0.02650326,0.300398333333333,0.115782905,-0.167132989065823,0.339911066666667,0.610415375,,9,2002-01-18,0.0292378057864783,0.0292378057864783,0.0755170755170755,0.599427753934192,0.402437354511845,1.14046288683669,0.2,snow,0.109172026247701,0.106458803108346,0.11085873732743,0.103068713537387,0.1,0,0,Grassland,2.425190625,0.00596772186722436,-0.0674679120233839
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,1,2002-02-01,0.019893362585193,0.019893362585193,0.0243298969072165,0.657104736490994,0.347802786709539,1.2294860589631,0.2,snow,0.308980512290861,0.317062108727684,0.314418995955477,0.317232417329188,0.307082616894611,0.202961680338063,0.087,Grassland,11.6308044956252,0.00253473324476111,-0.0253135902498146
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,2,2002-01-29,0.0879036495170351,0.0879036495170351,0.115079365079365,0.37156802928615,0.393154892496709,0.984505051572641,0.2,cloud,0.325075833521797,0.326315818388246,0.330453624577257,0.325960991985741,0.313668163895116,0.167688995621317,0.087,Grassland,11.8802331687106,0.00253473324476111,-0.167636230337786
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,3,2002-01-29,0.0879036495170351,0.0879036495170351,0.115079365079365,0.37156802928615,0.393154892496709,0.984505051572641,0.2,cloud,0.325075833521797,0.326315818388246,0.330453624577257,0.325960991985741,0.313668163895116,0.167688995621317,0.087,Grassland,11.8802331687106,0.00253473324476111,-0.167636230337786
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,4,2002-01-29,0.0996234130668364,0.0996234130668364,0.133800350262697,0.332921556516368,0.3832350679313,0.963626203107923,0.2,cloud,0.295144037598934,0.305994098241076,0.296499423768793,0.305722032517051,0.296041204027571,0.150592297344174,0.087,Grassland,11.2126091718043,0.00253473324476111,-5.38464406816722
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,5,2002-01-26,0.103185191361628,0.107818707743779,0.461323392357875,0.328813559322034,0.408964045312757,0.943113888351259,1,good,0.272352861931823,0.284679897938197,0.276611385245427,0.28521230928871,0.273098239430206,0.130137838066263,0.087,Grassland,10.3436406235989,0.00253473324476111,0.636629440930264
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,6,2002-01-26,0.0174888123038938,0.0119156094483774,0.0267927501970055,0.703267973856209,0.403690291429557,1.21342149636267,1,good,0.170694514797771,0.169165485020428,0.168578813909835,0.167597824308485,0.161148788244219,0.059148854221671,0.087,Grassland,6.10353679322287,0.00253473324476111,-0.0245758987651148
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,7,2002-01-26,0.0289715113471753,0.0222733684757591,0.0574162679425837,0.544374563242488,0.399886557005105,1.10321408225142,1,good,0.212832826219922,0.214198798808163,0.21542603201542,0.213934583266684,0.208617760210813,0.0955228862934846,0.087,Grassland,7.90143189433582,0.00253473324476111,-0.0285489193740327
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,8,2002-02-01,0.0282122194672261,0.0282122194672261,0.0899873257287705,0.491760624457936,0.403378378378378,1.06297820134701,0.2,snow,0.146549564508403,0.152352841937669,0.151987566859164,0.151595500619476,0.139022252737999,0.0330661394146309,0.087,Grassland,5.26549063079003,0.00253473324476111,-0.0282469604264075
AT-Neu,2002-01-25,GRA,2002,2002,96,47.11667,4,67.333625,1.889875,-0.204375,,1.5615,0.9875,0,0.50373525,0.07680275,0.121425579543503,0.115782905,0.339911066666667,0.610415375,9,2002-02-01,0.0282122194672261,0.0282122194672261,0.0899873257287705,0.491760624457936,0.402437354511845,1.06369145092915,0.2,snow,0.109801163834145,0.108108360150415,0.112425166766679,0.104988811750778,0.1,0,0.087,Grassland,3.78751640625,0.00253473324476111,-0.0282469604264075
