site,name,lon,lat,elev,MAT,MAP,IGBP,tier1,tier2,url
US-Tw4,Twitchell East End Wetland,-121.6414,38.10298,-5,15.6,421,Wet,2013-2014,2013-2014,http://sites.fluxdata.org/US-Tw4/
US-Twt,Twitchell Island,-121.65310,38.1087204,-7,15.6,421,CRO,2009-2014,2009-2014,http://sites.fluxdata.org/US-Twt/
US-UMB,Univ. of Mich. Biological Station,-84.7138,45.5598,234,5.83,803,DBF,2000-2014,2000-2014,http://sites.fluxdata.org/US-UMB/
US-UMd,UMBS Disturbance,-84.6975,45.5625,239,5.83,803,DBF,2007-2014,2007-2014,http://sites.fluxdata.org/US-UMd/
US-Var,Vaira Ranch- Ione,-120.9507,38.4133,129,15.8,559,GRA,2000-2014,2000-2014,http://sites.fluxdata.org/US-Var/
US-WCr,Willow Creek,-90.0799,45.8059,520.00,4.02,787,DBF,1999-2014,1999-2014,http://sites.fluxdata.org/US-WCr/
US-Whs,Walnut Gulch Lucky Hills Shrub,-110.0522,31.7438,1370,17.6,320,OSH,2007-2014,2007-2014,http://sites.fluxdata.org/US-Whs/
US-Wi0,Young red pine (YRP),-91.0814440,46.6187780,349,,,ENF,2002-2002,2002-2002,http://sites.fluxdata.org/US-Wi0/
US-Wi1,Intermediate hardwood (IHW),-91.2329440,46.7304720,352,,,DBF,,2003-2003,http://sites.fluxdata.org/US-Wi1/
US-Wi2,Intermediate red pine (IRP),-91.1528330,46.6868890,395,,,ENF,,2003-2003,http://sites.fluxdata.org/US-Wi2/
US-Wi3,Mature hardwood (MHW),-91.0986670,46.6347220,411,,,DBF,2002-2004,2002-2004,http://sites.fluxdata.org/US-Wi3/
US-Wi4,Mature red pine (MRP),-91.1662500,46.7393330,352,,,ENF,2002-2005,2002-2005,http://sites.fluxdata.org/US-Wi4/
US-Wi5,Mixed young jack pine (MYJP),-91.0858060,46.6530830,353,,,ENF,,2004-2004,http://sites.fluxdata.org/US-Wi5/
US-Wi6,Pine barrens #1 (PB1),-91.2982220,46.6248890,371,,,OSH,2002-2003,2002-2003,http://sites.fluxdata.org/US-Wi6/
US-Wi7,Red pine clearcut (RPCC),-91.0692780,46.6491110,335,,,OSH,,2005-2005,http://sites.fluxdata.org/US-Wi7/
US-Wi8,Young hardwood clearcut (YHW),-91.2524170,46.7223330,348,,,DBF,,2002-2002,http://sites.fluxdata.org/US-Wi8/
US-Wi9,Young Jack pine (YJP),-91.0814440,46.6187780,350,,,ENF,2004-2005,2004-2005,http://sites.fluxdata.org/US-Wi9/
US-Wkg,Walnut Gulch Kendall Grasslands,-109.9419,31.7365,1531,15.64,407,GRA,2004-2014,2004-2014,http://sites.fluxdata.org/US-Wkg/
US-WPT,Winous Point North Marsh,-82.996157,41.464639,175,10.1,849,WET,,2011-2013,http://sites.fluxdata.org/US-WPT/
ZA-Kru,Skukuza,31.4969,-25.0197,359,21.9,547,SAV,2000-2010,2000-2013,http://sites.fluxdata.org/ZA-Kru/
ZM-Mon,Mongu,23.25278,-15.43778,1053,25,945,DBF,2000-2009,2000-2009,http://sites.fluxdata.org/ZM-Mon/
