site,name,lon,lat,elev,MAT,MAP,IGBP,tier1,tier2,url
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",-105.8175700,54.4850300,536,0.4,470,ENF,2003-2006,2003-2006,http://sites.fluxdata.org/CA-SF1/
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",-105.8775000,54.2539200,520,0.4,470,ENF,2001-2005,2001-2005,http://sites.fluxdata.org/CA-SF2/
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",-106.0052600,54.0915600,540,0.4,470,OSH,2001-2006,2001-2006,http://sites.fluxdata.org/CA-SF3/
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,-80.55951944,42.66093611,265,8,1036,ENF,,2002-2014,http://sites.fluxdata.org/CA-TP1/
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,-80.458775,42.77441944,212,8,1036,ENF,,2002-2007,http://sites.fluxdata.org/CA-TP2/
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,-80.34831389,42.70681111,184,8,1036,ENF,,2002-2014,http://sites.fluxdata.org/CA-TP3/
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,-80.357376,42.710161,184,8,1036,ENF,,2002-2014,http://sites.fluxdata.org/CA-TP4/
CA-TPD,Ontario - Turkey Point Mature Deciduous,-80.557731,42.635328,260,8,1036,DBF,,2012-2014,http://sites.fluxdata.org/CA-TPD/
CG-Tch,Tchizalamou,11.65642,-4.28917,82,25.7,1150,SAV,,2006-2009,http://sites.fluxdata.org/CG-Tch/
CH-Cha,Chamau,8.41044,47.21022,393,9.5,1136,GRA,2005-2014,2005-2014,http://sites.fluxdata.org/CH-Cha/
CH-Dav,Davos,9.85591,46.81533,1639,2.8,1062,ENF,1997-2014,1997-2014,http://sites.fluxdata.org/CH-Dav/
CH-Fru,Früebüel ,8.53778,47.11583,982,7.2,1651,GRA,2005-2014,2005-2014,http://sites.fluxdata.org/CH-Fru/
