site	country	lat	long	elev	IGBP	href
CA-Qfo	Canada	49.6925	-74.3421	382	ENF	http://sites.fluxdata.org/CA-Qfo/
CA-SF1	Canada	54.485	-105.8176	536	ENF	http://sites.fluxdata.org/CA-SF1/
CA-SF2	Canada	54.2539	-105.8775	520	ENF	http://sites.fluxdata.org/CA-SF2/
CA-SF3	Canada	54.0916	-106.0053	540	OSH	http://sites.fluxdata.org/CA-SF3/
CA-TP1	Canada	42.6609	-80.5595	265	ENF	http://sites.fluxdata.org/CA-TP1/
CA-TP2	Canada	42.7744	-80.4588	212	ENF	http://sites.fluxdata.org/CA-TP2/
CA-TP3	Canada	42.7068	-80.3483	184	ENF	http://sites.fluxdata.org/CA-TP3/
CA-TP4	Canada	42.7102	-80.3574	184	ENF	http://sites.fluxdata.org/CA-TP4/
CA-TPD	Canada	42.6353	-80.5577	260	DBF	http://sites.fluxdata.org/CA-TPD/
CG-Tch	Republic of Congo	-4.2892	11.6564	82	SAV	http://sites.fluxdata.org/CG-Tch/
CH-Cha	Switzerland	47.2102	8.4104	393	GRA	http://sites.fluxdata.org/CH-Cha/
CH-Dav	Switzerland	46.8153	9.8559	1639	ENF	http://sites.fluxdata.org/CH-Dav/
CH-Fru	Switzerland	47.1158	8.5378	982	GRA	http://sites.fluxdata.org/CH-Fru/
CH-Lae	Switzerland	47.4781	8.365	689	MF	http://sites.fluxdata.org/CH-Lae/
CH-Oe1	Switzerland	47.2858	7.7319	450	GRA	http://sites.fluxdata.org/CH-Oe1/
CH-Oe2	Switzerland	47.2863	7.7343	452	CRO	http://sites.fluxdata.org/CH-Oe2/
CN-Cha	China	42.4025	128.0958		MF	http://sites.fluxdata.org/CN-Cha/
CN-Cng	China	44.5934	123.5092		GRA	http://sites.fluxdata.org/CN-Cng/
CN-Dan	China	30.4978	91.0664		GRA	http://sites.fluxdata.org/CN-Dan/
CN-Din	China	23.1733	112.5361		EBF	http://sites.fluxdata.org/CN-Din/
CN-Du2	China	42.0467	116.2836		GRA	http://sites.fluxdata.org/CN-Du2/
CN-Du3	China	42.0551	116.2809		GRA	http://sites.fluxdata.org/CN-Du3/
CN-Ha2	China	37.6086	101.3269		WET	http://sites.fluxdata.org/CN-Ha2/
CN-HaM	China	37.37	101.18		GRA	http://sites.fluxdata.org/CN-HaM/
CN-Qia	China	26.7414	115.0581		ENF	http://sites.fluxdata.org/CN-Qia/
CN-Sw2	China	41.7902	111.8971		GRA	http://sites.fluxdata.org/CN-Sw2/
CZ-BK1	Czech Republic	49.5021	18.5369	875	ENF	http://sites.fluxdata.org/CZ-BK1/
CZ-BK2	Czech Republic	49.4944	18.5429	855	GRA	http://sites.fluxdata.org/CZ-BK2/
CZ-wet	Czech Republic	49.0247	14.7704	426	WET	http://sites.fluxdata.org/CZ-wet/
DE-Akm	Germany	53.8662	13.6834	-1	WET	http://sites.fluxdata.org/DE-Akm/
DE-Geb	Germany	51.1001	10.9143	161.5	CRO	http://sites.fluxdata.org/DE-Geb/
DE-Gri	Germany	50.9495	13.5125	385	GRA	http://sites.fluxdata.org/DE-Gri/
DE-Hai	Germany	51.0792	10.453	430	DBF	http://sites.fluxdata.org/DE-Hai/
DE-Kli	Germany	50.8929	13.5225	478	CRO	http://sites.fluxdata.org/DE-Kli/
DE-Lkb	Germany	49.0996	13.3047	1308	ENF	http://sites.fluxdata.org/DE-Lkb/
DE-Lnf	Germany	51.3282	10.3678	451	DBF	http://sites.fluxdata.org/DE-Lnf/
DE-Obe	Germany	50.7836	13.7196	735	ENF	http://sites.fluxdata.org/DE-Obe/
DE-RuR	Germany	50.6219	6.3041	514.7	GRA	http://sites.fluxdata.org/DE-RuR/
DE-RuS	Germany	50.8659	6.4472	102.8	CRO	http://sites.fluxdata.org/DE-RuS/
DE-Seh	Germany	50.8706	6.4497	103	CRO	http://sites.fluxdata.org/DE-Seh/
DE-SfN	Germany	47.8064	11.3275	590	WET	http://sites.fluxdata.org/DE-SfN/
DE-Spw	Germany	51.8923	14.0337	63	WET	http://sites.fluxdata.org/DE-Spw/
DE-Tha	Germany	50.9636	13.5669	380	ENF	http://sites.fluxdata.org/DE-Tha/
DE-Zrk	Germany	53.8759	12.889	0	WET	http://sites.fluxdata.org/DE-Zrk/
DK-Eng	Denmark	55.6905	12.1918	10	GRA	http://sites.fluxdata.org/DK-Eng/
DK-Fou	Denmark	56.4842	9.5872	51	CRO	http://sites.fluxdata.org/DK-Fou/
DK-NuF	Denmark	64.1308	-51.3861	50	WET	http://sites.fluxdata.org/DK-NuF/
DK-Sor	Denmark	55.4859	11.6446	40	DBF	http://sites.fluxdata.org/DK-Sor/
DK-ZaF	Denmark	74.4814	-20.5545	38	WET	http://sites.fluxdata.org/DK-ZaF/
DK-ZaH	Denmark	74.4732	-20.5503	38	GRA	http://sites.fluxdata.org/DK-ZaH/
ES-Amo	Spain	36.8336	-2.2523	58	OSH	http://sites.fluxdata.org/ES-Amo/
ES-LgS	Spain	37.0979	-2.9658	2267	OSH	http://sites.fluxdata.org/ES-LgS/
ES-LJu	Spain	36.9266	-2.7521	1600	OSH	http://sites.fluxdata.org/ES-LJu/
ES-Ln2	Spain	36.9695	-3.4758	2249	OSH	http://sites.fluxdata.org/ES-Ln2/
FI-Hyy	Finland	61.8475	24.295	181	ENF	http://sites.fluxdata.org/FI-Hyy/
FI-Jok	Finland	60.8986	23.5135	109	CRO	http://sites.fluxdata.org/FI-Jok/
FI-Let	Finland	60.6418	23.9597	119	ENF	http://sites.fluxdata.org/FI-Let/
FI-Lom	Finland	67.9972	24.2092	274	WET	http://sites.fluxdata.org/FI-Lom/
FI-Sod	Finland	67.3619	26.6378	180	ENF	http://sites.fluxdata.org/FI-Sod/
FR-Fon	France	48.4764	2.7801	103	DBF	http://sites.fluxdata.org/FR-Fon/
FR-Gri	France	48.8442	1.9519	125	CRO	http://sites.fluxdata.org/FR-Gri/
FR-LBr	France	44.7171	-0.7693	61	ENF	http://sites.fluxdata.org/FR-LBr/
FR-Pue	France	43.7414	3.5958	270	EBF	http://sites.fluxdata.org/FR-Pue/
GF-Guy	French Guyana	5.2788	-52.9249	48	EBF	http://sites.fluxdata.org/GF-Guy/
GH-Ank	Ghana	5.2685	-2.6942	124	EBF	http://sites.fluxdata.org/GH-Ank/
